Calories Cal,Fat Cal Cal,Fat g,Fat %,Sat Fat g,Sat Fat %,Trans Fat g,Chol mg,Chol %,Sodium mg,Sodium %,Potassium mg,Potassium %,Carbs g,Carbs %,Dietary Fiber g,Dietary Fiber %,Sugars g,Protein g,Calcium %,Iron %,
Decaffeinated Red Eye - 12 oz (340g),5,0,0,0%,0,0%,0,0,0%,10,0%,180,4%,0,0%,0,0%,0,< 1,0%,0%
Hot Chocolate Oat Milk - 16 oz (454g),476,0,0,1%,2,9%,0,0,0%,300,13%,460,10%,77,26%,3,12%,41,8,10%,8%
Hot Chocolate Skim Milk - 20 oz (567g),364,0,0,1%,0,0%,0,0,0%,280,12%,0,0%,70,23%,2,6%,67,19,70%,0%
Hot Chocolate Soy Milk - 20 oz (567g),376,72,8,12%,0,0%,0,0,0%,530,22%,0,0%,62,21%,2,6%,57,12,0%,0%
Hot Chocolate Whole Milk - 20 oz (567g),540,162,18,28%,11,56%,0,80,26%,300,12%,0,0%,71,24%,2,6%,69,19,70%,0%
Hot Tea - 16 oz (454g),0,0,0,0%,0,0%,0,0,0%,0,0%,0,0%,0,0%,0,0%,0,0,0%,0%
Iced Carle's Macchiato Oat Milk - 20 oz (567g),367,0,0,0%,1.5,6%,0,0,0%,210,9%,410,9%,62,21%,1,5%,36,5,8%,6%
Iced Carle's Macchiato Skim Milk - 20 oz (567g),240,0,0,0%,0,0%,0,0,0%,160,7%,80,2%,48,16%,0,0%,46,10,40%,0%
Iced Carle's Macchiato Soy Milk - 20 oz (70g),31,4,0.5,1%,0,0%,0,0,0%,40,2%,10,0%,5,2%,0,0%,5,< 1,0%,0%
Iced Carle's Macchiato Whole Milk - 20 oz (567g),484,135,15,23%,9,45%,0,65,21%,240,10%,115,2%,69,23%,0,0%,68,14,50%,0%
Iced Latte Oat Milk - 16 oz (454g),202,0,0,0%,1,5%,0,0,0%,180,8%,350,8%,25,8%,1,4%,3,4,8%,4%
Iced Latte Skim Milk - 16 oz (454g),94,0,0,0%,0,0%,0,0,0%,135,6%,70,1%,13,4%,0,0%,12,9,35%,0%
Iced Latte Soy Milk - 20 oz (567g),126,45,5,7%,0,0%,0,0,0%,320,14%,85,2%,12,4%,0,0%,9,7,0%,0%
Iced Latte Whole Milk - 20 oz (567g),225,99,11,17%,7,34%,0,50,16%,180,8%,90,2%,18,6%,0,0%,16,11,40%,0%
Iced Mocha Decaf Oat Milk - 20 oz (567g),359,4,0.5,1%,1.5,6%,0,0,0%,240,10%,410,9%,56,19%,3,13%,31,7,10%,6%
Iced Mocha Decaf Skim Milk - 20 oz (567g),230,4,0.5,1%,0,0%,0,0,0%,180,8%,80,2%,42,14%,2,8%,41,12,40%,0%
Iced Mocha Decaf Soy Milk - 16 oz (454g),191,36,4,6%,0,0%,0,0,0%,260,11%,60,1%,30,10%,2,6%,28,6,0%,0%
Iced Mocha Decaf Whole Milk - 20 oz (567g),333,99,11,17%,6,32%,0,45,15%,190,8%,80,2%,44,15%,2,8%,42,12,40%,0%
Iced Mocha Oat Milk - 16 oz (454g),289,4,0.5,1%,1,5%,0,0,0%,190,8%,330,7%,45,15%,3,10%,25,5,8%,4%
Iced Mocha Skim Milk - 20 oz (567g),233,9,1,1%,0,0%,0,0,0%,180,8%,80,2%,42,14%,2,8%,41,11,40%,0%
Iced Mocha Soy Milk - 20 oz (567g),241,45,5,8%,0,0%,0,0,0%,330,14%,80,2%,38,13%,2,8%,35,7,0%,0%
Iced Mocha Whole Milk - 16 oz (454g),268,81,9,14%,5,26%,0,35,12%,150,6%,65,1%,35,12%,2,6%,34,9,30%,0%
Iced White Mocha Decaf Oat Milk - 20 oz (567g),328,0,0,0%,1.5,6%,0,0,0%,280,12%,420,9%,52,17%,1,5%,23,5,10%,6%
Iced White Mocha Decaf Skim Milk - 20 oz (567g),199,0,0,0%,0,0%,0,0,0%,220,9%,80,2%,38,13%,0,0%,33,10,40%,0%
Iced White Mocha Decaf Soy Milk - 20 oz (567g),207,40,4.5,7%,0,0%,0,0,0%,370,16%,80,2%,33,11%,0,0%,28,6,0%,0%
Iced White Mocha Decaf Whole Milk - 20 oz (567g),299,90,10,16%,6,32%,0,45,15%,240,10%,80,2%,39,13%,0,0%,34,11,40%,0%
Iced White Mocha Oat Milk - 16 oz (454g),262,0,0,0%,1,5%,0,0,0%,230,9%,330,7%,41,14%,1,4%,18,4,8%,4%
Iced White Mocha Skim Milk - 16 oz (454g),159,0,0,0%,0,0%,0,0,0%,180,8%,65,1%,30,10%,0,0%,26,8,30%,0%
Iced White Mocha Soy Milk - 16 oz (454g),166,32,3.5,6%,0,0%,0,0,0%,300,12%,65,1%,27,9%,0,0%,22,5,0%,0%
Iced White Mocha Whole Milk - 16 oz (454g),241,72,8,13%,5,26%,0,35,12%,190,8%,65,1%,31,10%,0,0%,27,8,30%,0%
Latte Oat Milk - 12 oz (340g),242,0,0,0%,1.5,7%,0,0,0%,220,9%,390,8%,30,10%,1,5%,4,5,10%,6%
Latte Skim Milk - 20 oz (567g),183,0,0,0%,0,0%,0,0,0%,260,11%,65,1%,27,9%,0,0%,24,18,70%,0%
Latte Soy Milk - 20 oz (567g),197,72,8,12%,0,0%,0,0,0%,520,22%,65,1%,19,6%,0,0%,15,11,0%,0%
Latte Whole Milk - 16 oz (454g),306,135,15,23%,9,48%,0,65,22%,240,10%,20,0%,25,8%,0,0%,23,15,60%,0%
Mango Smoothie - 20 oz (567g),492,0,0,0%,0,0%,0,0,0%,0,0%,170,4%,124,41%,3,10%,119,0,2%,0%
Peach Smoothie - 20 oz (567g),492,0,0,0%,0,0%,0,0,0%,0,0%,260,6%,127,42%,0,0%,119,0,2%,0%
Regular Coffee - 12 oz (340g),1,0,0,0%,0,0%,0,0,0%,5,0%,170,4%,0,0%,0,0%,0,0,0%,0%
Regular Mocha Oat Milk - 20 oz (567g),483,4,0.5,1%,2,11%,0,0,0%,360,15%,610,13%,70,23%,4,14%,28,9,15%,10%
Regular Mocha Skim Milk - 16 oz (454g),215,0,0,1%,0,0%,0,0,0%,210,9%,50,1%,37,12%,1,5%,35,14,50%,0%
Regular Mocha Soy Milk - 16 oz (454g),225,54,6,10%,0,0%,0,0,0%,410,17%,50,1%,31,10%,1,5%,28,9,0%,0%
Regular Mocha Whole Milk - 20 oz (567g),438,162,18,27%,11,53%,0,75,25%,290,12%,60,1%,48,16%,2,6%,46,18,60%,0%
Regular Red Eye - 20 oz (5630g),78,18,2,3%,0,0%,0,0,0%,180,8%,3140,67%,0,0%,0,0%,0,6,0%,0%
Regular White Mocha Oat Milk - 20 oz (567g),457,0,0,0%,2,11%,0,0,0%,400,17%,610,13%,66,22%,2,8%,21,8,15%,10%
Regular White Mocha Skim Milk - 20 oz (567g),244,0,0,0%,0,0%,0,0,0%,300,13%,65,1%,43,14%,0,0%,38,17,60%,0%
Regular White Mocha Soy Milk - 20 oz (567g),256,63,7,11%,0,0%,0,0,0%,550,23%,60,1%,35,12%,0,0%,29,10,0%,0%
Regular White Mocha Whole Milk - 16 oz (454g),330,126,14,21%,8,43%,0,60,20%,260,11%,50,1%,35,12%,0,0%,32,14,50%,0%
Spiced Cider - 16 oz (454g),248,0,0,1%,0,1%,0,0,0%,5,0%,280,6%,58,20%,0,0%,56,0,0%,0%
Steamer Oat Milk - 20 oz (567g),444,0,0,0%,2.5,12%,0,0,0%,390,16%,640,14%,57,19%,2,9%,7,10,15%,10%
Steamer Skim Milk - 20 oz (567g),197,0,0,0%,0,0%,0,0,0%,280,12%,0,0%,30,10%,0,0%,27,20,70%,0%
Steamer Soy Milk - 16 oz (454g),170,63,7,10%,0,0%,0,0,0%,450,19%,0,0%,17,6%,0,0%,13,9,0%,0%
Steamer Whole Milk - 12 oz (340g),237,108,12,18%,7,37%,0,50,17%,180,8%,0,0%,19,6%,0,0%,18,12,45%,0%
Strawberry Banana Smoothie - 16 oz (454g),440,0,0,0%,0,0%,0,0,0%,10,1%,100,2%,111,37%,0,0%,93,0,6%,0%
Strawberry Smoothie - 20 oz (567g),581,0,0,0%,0,0%,0,0,0%,15,1%,50,1%,149,50%,0,0%,144,0,6%,0%
White Hot Chocolate Oat Milk - 12 oz (340g),340,0,0,0%,1.5,7%,0,0,0%,250,10%,350,7%,55,18%,1,5%,27,5,10%,6%
White Hot Chocolate Skim Milk - 20 oz (567g),337,0,0,0%,0,0%,0,0,0%,310,13%,0,0%,66,22%,0,0%,61,18,70%,0%
White Hot Chocolate Soy Milk - 16 oz (454g),279,54,6,9%,0,0%,0,0,0%,460,19%,0,0%,46,15%,0,0%,41,9,0%,0%
White Hot Chocolate Whole Milk - 16 oz (454g),411,126,14,22%,9,45%,0,65,21%,270,11%,0,0%,54,18%,0,0%,50,14,50%,0%
Wildberry Smoothie - 16 oz (454g),399,0,0,0%,0,0%,0,0,0%,10,0%,35,1%,97,32%,0,0%,95,0,4%,0%
