Calories Cal,Fat Cal Cal,Fat g,Fat %,Sat Fat g,Sat Fat %,Trans Fat g,Chol mg,Chol %,Sodium mg,Sodium %,Potassium mg,Potassium %,Carbs g,Carbs %,Dietary Fiber g,Dietary Fiber %,Sugars g,Protein g,Calcium %,Iron %,
Orange Chicken - 5.7 oz (162g),490,207,23,35%,5,25%,0,80,27%,820,34%,0,0%,51,17%,2,7%,19,25,0%,0%
Passion Fruit Mango Black Tea - 22 oz (624g),7,0,0,0%,0,0%,0,0,0%,20,1%,0,0%,2,1%,0,0%,0,0,0%,0%
Plum Sauce - 7 g / Pkt (7g),15,0,0,0%,0,0%,0,0,0%,55,2%,0,0%,3,1%,0,0%,3,0,0%,0%
Potato Chicken - 5.2 oz (147g),190,90,10,15%,2,10%,0,30,10%,680,28%,0,0%,18,6%,2,7%,4,8,0%,0%
Potsticker Sauce - 1 Packet (11 g) (11g),1,0,0,0%,0,0%,0,0,0%,30,1%,0,0%,0,0%,0,0%,0,0,0%,0%
POWERade Mountain Berry Blast - 30 oz (850g),210,0,0,0%,0,0%,0,0,0%,280,12%,0,0%,55,18%,0,0%,55,0,0%,0%
Seagram's Ginger Ale - 22 oz (624g),235,0,0,0%,0,0%,0,0,0%,80,3%,0,0%,64,21%,0,0%,64,0,0%,0%
Shanghai Angus Steak - 6.4 oz (181g),310,171,19,29%,4,20%,0,40,13%,790,33%,0,0%,17,6%,1,4%,11,19,0%,0%
Soy Sauce - 1 packet (6 g) (6g),4,0,0,0%,0,0%,0,0,0%,320,13%,0,0%,0,0%,0,0%,0,0,0%,0%
Sprite - 22 oz (624g),249,0,0,0%,0,0%,0,0,0%,125,5%,0,0%,67,22%,0,0%,67,0,0%,0%
Sprite Zero - 42 oz (1191g),7,0,0,0%,0,0%,0,0,0%,150,6%,0,0%,0,0%,0,0%,0,0,0%,0%
Steamed Ginger Fish - 6 oz (170g),200,108,12,18%,2.5,13%,0,40,13%,1990,83%,0,0%,8,3%,0,0%,6,15,0%,0%
String Bean Chicken Breast - 5.6 oz (159g),190,81,9,14%,2,10%,0,35,11%,590,25%,0,0%,13,4%,4,14%,4,14,0%,0%
Super Greens - 3.5 oz (99g),45,14,1.5,2%,0,0%,0,0,0%,130,5%,0,0%,5,2%,3,11%,2,3,0%,0%
Super Greens - 7 oz (198g),90,22,2.5,4%,0,0%,0,0,0%,260,11%,0,0%,10,3%,5,18%,4,6,0%,0%
Sweet & Sour Chicken Breast - 5.5 oz (156g),300,108,12,18%,3,15%,0,25,8%,260,11%,0,0%,40,13%,1,4%,24,10,0%,0%
Sweet & Sour Sauce - 1.8 oz (51g),70,0,0,0%,0,0%,0,0,0%,115,5%,0,0%,21,7%,0,0%,20,0,0%,0%
Sweet Fire Chicken Breast - 5.8 oz (164g),380,135,15,23%,3,15%,0,35,12%,320,13%,0,0%,47,16%,1,4%,27,13,0%,0%
Sweet Tea - 30 oz (850g),410,0,0,0%,0,0%,0,0,0%,25,1%,0,0%,103,34%,0,0%,101,0,0%,0%
Teriyaki Chicken - 6 oz (170g),340,117,13,20%,3.5,18%,0,195,65%,630,26%,0,0%,14,5%,3,11%,10,41,0%,0%
Teriyaki Sauce - 1.8 oz (51g),70,0,0,0%,0,0%,0,0,0%,380,16%,0,0%,16,5%,0,0%,14,0,0%,0%
Vegetable Spring Roll - 3.4 oz / 2 roll (96g),269,99,11,17%,7,35%,0,50,17%,250,11%,0,0%,34,11%,3,10%,1,7,0%,0%
White Steamed Rice - 8.1 oz (230g),380,0,0,0%,0,0%,0,0,0%,0,0%,0,0%,87,29%,0,0%,0,7,0%,0%
Wok Fired Shrimp - 6 oz (170g),190,45,5,8%,1,5%,0,140,47%,1140,48%,0,0%,19,6%,1,4%,15,17,0%,0%
