Calories Cal,Fat Cal Cal,Fat g,Fat %,Sat Fat g,Sat Fat %,Trans Fat g,Chol mg,Chol %,Sodium mg,Sodium %,Potassium mg,Potassium %,Carbs g,Carbs %,Dietary Fiber g,Dietary Fiber %,Sugars g,Protein g,Calcium %,Iron %,
Crushed Red Pepper - Garnish (1g),0,0,0,0%,0,0%,0,0,0%,0,0%,0,0%,0,0%,0,0%,0,0,0%,0%
Fettuccine - Serving (255g),403,22,2.5,4%,0,2%,0,0,0%,0,0%,110,2%,79,26%,5,16%,1,15,2%,20%
Fresh Basil - Garnish (1g),0,0,0,0%,0,0%,0,0,0%,0,0%,0,0%,0,0%,0,0%,0,0,0%,0%
Garden Veggie Pasta - 1/2 Container (253g),319,99,11,17%,1,6%,0,0,0%,290,12%,160,3%,45,15%,4,13%,2,10,8%,15%
Grated Cheese Blend - .5 Tablespoon Serving (7g),13,9,1,1%,0.5,3%,0,< 5,1%,55,2%,0,0%,0,0%,0,0%,0,1,6%,0%
Green Onion - Garnish (1g),0,0,0,0%,0,0%,0,0,0%,0,0%,0,0%,0,0%,0,0%,0,0,0%,0%
Harvest Pizza - Pizza (464g),962,234,26,40%,9,45%,0,60,20%,2680,112%,640,14%,140,47%,8,30%,11,35,10%,130%
Harvest Pizza GF - Slice (107g),148,54,6,9%,3.5,17%,0,20,7%,490,21%,130,3%,17,6%,1,5%,2,6,8%,6%
Kyle's BBQ Pizza - Pizza (403g),1355,477,53,82%,13,66%,0,80,27%,2560,107%,590,13%,167,56%,7,24%,34,45,8%,110%
Margarita Pizza - Pizza (351g),1020,333,37,58%,11,55%,0,60,20%,2060,86%,390,8%,132,44%,6,23%,8,33,8%,120%
Margarita Pizza GFF - Pizza (314g),650,315,35,55%,16,80%,0,90,30%,1350,56%,260,6%,60,20%,4,14%,5,23,30%,20%
Meatball - 2 Meatball Serving (71g),200,117,13,21%,6,31%,0,75,24%,380,16%,190,4%,3,1%,0,0%,0,15,2%,8%
Meatball and Spaghetti Pasta - 1/2 Container (262g),381,126,14,22%,5,25%,0,40,14%,630,26%,220,5%,46,15%,3,11%,3,18,15%,25%
Mozzarella Cheese - 1 oz Serving (28g),86,54,6,9%,3.5,16%,0,20,6%,190,8%,35,1%,2,1%,0,0%,< 1,7,20%,0%
Mushroom - 1 oz Serving (28g),11,0,0,0%,0,0%,0,0,0%,130,5%,140,3%,2,1%,< 1,3%,< 1,< 1,0%,4%
Onion and Pepper Mix - 1 oz Serving (28g),8,0,0,0%,0,0%,0,0,0%,85,3%,25,1%,2,1%,0,1%,< 1,0,0%,0%
Pancetta - .5 oz Serving (14g),86,81,9,14%,3.5,16%,0,10,4%,110,5%,0,0%,0,0%,0,0%,0,1,0%,0%
Pancetta Aglio E Olio Pasta - 1/2 Container (197g),759,342,38,58%,7,35%,0,10,3%,240,10%,115,2%,92,31%,5,19%,2,18,4%,20%
Panna Cotta - Serving (179g),529,405,45,69%,31,158%,0,180,60%,50,2%,160,3%,28,9%,0,1%,18,0,2%,0%
Parma Rosa Pasta - 1/2 Container (321g),437,117,13,20%,6,33%,0,90,29%,540,23%,380,8%,49,16%,4,13%,5,30,10%,15%
Parma Rosa Sauce - 5 oz Serving (142g),213,135,15,24%,9,45%,0,50,16%,690,29%,25,1%,12,4%,1,5%,6,5,10%,2%
Pasta Romano - 1/2 Container (234g),681,225,25,38%,6,30%,0,35,12%,1210,51%,115,2%,99,33%,5,20%,3,22,2%,20%
Penne Pasta - Serving (180g),644,45,5,7%,0,0%,0,0,0%,0,0%,0,0%,138,46%,6,23%,0,13,0%,0%
Pepperoni Pizza GFF - Pizza (360g),892,441,49,75%,26,130%,0.5,145,49%,2610,109%,520,11%,70,23%,5,17%,12,40,70%,8%
Pizza Bianca Rosa GF - Pizza (418g),907,549,61,94%,19,96%,0,100,34%,2140,89%,360,8%,68,23%,5,16%,10,25,25%,20%
Pizza Pepperoni - Pizza (397g),1262,459,51,78%,21,105%,0.5,115,39%,3320,138%,640,14%,142,47%,7,26%,15,50,50%,110%
PJ's New Yorker - Pizza (440g),1225,414,46,70%,17,88%,0.5,100,34%,3170,132%,650,14%,146,49%,8,30%,17,50,50%,110%
PJ's New Yorker Pizza GFF - Pizza (403g),855,387,43,67%,22,113%,0.5,130,44%,2460,103%,530,11%,74,25%,6,20%,14,40,80%,10%
Pomodoro Sauce - 3 oz Serving (85g),54,40,4.5,7%,0.5,3%,0,0,0%,330,14%,55,1%,4,1%,< 1,3%,2,< 1,2%,10%
Quattro Pizza - Pizza (435g),1332,486,54,83%,21,106%,0.5,140,47%,3430,143%,680,14%,144,48%,8,27%,16,58,50%,120%
Red Velvet Cookie - Cookie (37g),165,72,8,12%,4,20%,0,15,4%,80,3%,0,0%,23,8%,< 1,3%,14,2,0%,0%
Rigatoni - Serving (321g),507,27,3,5%,0.5,3%,0,0,0%,0,0%,140,3%,99,33%,6,21%,2,19,2%,25%
Roasted Red Pepper - 1 oz Serving (28g),5,0,0,0%,0,0%,0,0,0%,80,3%,0,0%,< 1,0%,0,0%,< 1,0,0%,0%
Rustic Pizza - Pizza (478g),1180,378,42,64%,27,134%,3.5,165,55%,4340,181%,490,11%,154,51%,9,32%,16,56,2%,130%
Rustic Pizza GFF - Pizza (427g),756,351,39,60%,32,159%,3.5,195,65%,3530,147%,340,7%,73,24%,6,20%,13,43,25%,15%
Salmon - 1.5 oz Serving (43g),90,22,2.5,4%,0,2%,0,45,14%,45,2%,0,0%,0,0%,0,0%,0,15,0%,2%
Salmon Alfredo Pasta - 1/2 Container (237g),435,144,16,25%,8,40%,0,85,28%,280,12%,110,2%,43,14%,2,9%,1,26,15%,15%
Skadoosh Pizza - Pizza (388g),1196,378,42,64%,12,59%,0.5,75,25%,2620,109%,630,14%,151,50%,8,29%,23,53,50%,110%
Skadoosh Pizza GFF - Pizza (351g),826,360,40,61%,17,84%,0.5,105,34%,1920,80%,510,11%,80,27%,5,19%,19,42,80%,10%
Spaghetti - Serving (255g),403,22,2.5,4%,0,2%,0,0,0%,0,0%,110,2%,79,26%,5,16%,1,15,2%,20%
Spicy IL Forno Pasta - 1/2 Container (315g),476,198,22,34%,7,34%,0,45,15%,900,38%,170,4%,50,17%,4,13%,8,19,15%,20%
Triple Chocolate Cookie - Cookie (128g),470,144,16,25%,7,35%,0,45,15%,310,13%,0,0%,79,26%,2,7%,27,6,0%,0%
